description,industry,level,size,line_code,value,Unit,footnotes
"To do things in D04, how important was: demand from customer: don't know",Insurance,2,total,D0501.04,3,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: don't know",Auxiliary,2,total,D0501.04,9,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: don't know","Rental, hiring, & real estate services",1,total,D0501.04,33,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: don't know","Professional, scientific, & technical services",1,total,D0501.04,174,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: don't know",Computer systems design,2,total,D0501.04,72,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: don't know",Other professional scientific,2,total,D0501.04,105,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: don't know",Administrative & support services,1,total,D0501.04,54,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: don't know",Education & training,1,total,D0501.04,27,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: don't know",Health care & social assistance,1,total,D0501.04,135,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: don't know",Arts & recreation services,1,total,D0501.04,0,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: don't know",Other services,1,total,D0501.04,24,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: demand from customer: don't know",total,0,total,D0501.04,1257,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: improving the reputation of this business: not important",total,0,6�19 employees,D0502.01,2502,Number of businesses,1 and 2 and 3 and 4 and 6
"To do things in D04, how important was: improving the reputation of this business: not important",total,0,20�49 employees,D0502.01,714,Number of businesses,1 and 2 and 3 and 4 and 6
"To do things in D04, how important was: improving the reputation of this business: not important",total,0,50�99 employees,D0502.01,165,Number of businesses,1 and 2 and 3 and 4 and 6
"To do things in D04, how important was: improving the reputation of this business: not important",total,0,100+ employees,D0502.01,93,Number of businesses,1 and 2 and 3 and 4 and 6
"To do things in D04, how important was: improving the reputation of this business: not important","Agriculture, forestry, & fishing",1,total,D0502.01,213,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: improving the reputation of this business: not important",Agriculture,2,total,D0502.01,180,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: improving the reputation of this business: not important",Commercial fishing,2,total,D0502.01,6,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: improving the reputation of this business: not important",Forestry & logging,2,total,D0502.01,12,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: improving the reputation of this business: not important","Agriculture, forestry, & fishing support services",2,total,D0502.01,18,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: improving the reputation of this business: not important",Mining,1,total,D0502.01,9,Number of businesses,1 and 2 and 3 and 5 and 6
"To do things in D04, how important was: improving the reputation of this business: not important",Manufacturing,1,total,D0502.01,414,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: improving the reputation of this business: not important","Food, beverage, & tobacco",2,total,D0502.01,72,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: improving the reputation of this business: not important","Textile, clothing, footwear, & leather",2,total,D0502.01,21,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: improving the reputation of this business: not important",Wood & paper product,2,total,D0502.01,42,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: improving the reputation of this business: not important","Printing, publishing, & recorded media",2,total,D0502.01,6,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: improving the reputation of this business: not important","Petroleum, coal, chemical, & associated product",2,total,D0502.01,27,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: improving the reputation of this business: not important",Non-metallic mineral product,2,total,D0502.01,15,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: improving the reputation of this business: not important",Metal product,2,total,D0502.01,63,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: improving the reputation of this business: not important",Transport and industrial machinery & equipment,2,total,D0502.01,123,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: improving the reputation of this business: not important",Other machinery & equipment,2,total,D0502.01,18,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: improving the reputation of this business: not important",Other manufacturing,2,total,D0502.01,30,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: improving the reputation of this business: not important","Electricity, gas, water, & waste services",1,total,D0502.01,12,Number of businesses,1 and 2 and 3 and 5 and 6
"To do things in D04, how important was: improving the reputation of this business: not important",Construction,1,total,D0502.01,345,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: improving the reputation of this business: not important",Wholesale trade,1,total,D0502.01,174,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: improving the reputation of this business: not important",Machinery & equipment wholesaling,2,total,D0502.01,84,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: improving the reputation of this business: not important",Other wholesale trade,2,total,D0502.01,87,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: improving the reputation of this business: not important",Retail trade,1,total,D0502.01,399,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: improving the reputation of this business: not important",Accommodation & food services,1,total,D0502.01,207,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: improving the reputation of this business: not important","Transport, postal, & warehousing",1,total,D0502.01,96,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: improving the reputation of this business: not important",Information media & telecommunications,1,total,D0502.01,66,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: improving the reputation of this business: not important",Publishing,2,total,D0502.01,39,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: improving the reputation of this business: not important",Motion picture,2,total,D0502.01,9,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: improving the reputation of this business: not important",Telecommunications,2,total,D0502.01,15,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: improving the reputation of this business: not important",Financial & insurance services,1,total,D0502.01,57,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: improving the reputation of this business: not important",Finance,2,total,D0502.01,15,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: improving the reputation of this business: not important",Insurance,2,total,D0502.01,6,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: improving the reputation of this business: not important",Auxiliary,2,total,D0502.01,39,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: improving the reputation of this business: not important","Rental, hiring, & real estate services",1,total,D0502.01,66,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: improving the reputation of this business: not important","Professional, scientific, & technical services",1,total,D0502.01,696,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: improving the reputation of this business: not important",Computer systems design,2,total,D0502.01,102,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: improving the reputation of this business: not important",Other professional scientific,2,total,D0502.01,597,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: improving the reputation of this business: not important",Administrative & support services,1,total,D0502.01,138,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: improving the reputation of this business: not important",Education & training,1,total,D0502.01,114,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: improving the reputation of this business: not important",Health care & social assistance,1,total,D0502.01,357,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: improving the reputation of this business: not important",Arts & recreation services,1,total,D0502.01,51,Number of businesses,1 and 2 and 3 and 6
